"Date","Winner1","Winner Probability","Loser1","Loser Probability","Site","Category","Winner_Actual","Model"
2024-10-13,"Winnipeg Jets",0.645382710515117,"Minnesota Wild",0.354617289484883,"Playing At:  Winnipeg Jets   Home","60-70","Winnipeg Jets",1
2024-10-14,"New Jersey Devils",0.847681480434005,"Arizona Coyotes",0.152318519565995,"Playing At:  New Jersey Devils   Home","80-85","New Jersey Devils",1
2024-10-14,"Colorado Avalanche",0.68982989817755,"New York Islanders",0.31017010182245,"Playing At:  Colorado Avalanche   Home","60-70","New York Islanders",0
2024-10-14,"New York Rangers",0.626371898683104,"Detroit Red Wings",0.373628101316896,"Playing At:  New York Rangers   Home","60-70","New York Rangers",1
2024-10-14,"Pittsburgh Penguins",0.578092547339204,"Montreal Canadiens",0.421907452660796,"Playing At:  Montreal Canadiens   Home","55-60","Pittsburgh Penguins",1
2024-10-14,"Ottawa Senators",0.532658810462052,"Los Angeles Kings",0.467341189537948,"Playing At:  Ottawa Senators   Home","55 >","Ottawa Senators",1
2024-10-14,"Florida Panthers",0.510484981685673,"Boston Bruins",0.489515018314327,"Playing At:  Boston Bruins   Home","55 >","Florida Panthers",1
2024-10-15,"Dallas Stars",0.883309620652813,"San Jose Sharks",0.116690379347187,"Playing At:  Dallas Stars   Home","85 <","Dallas Stars",1
2024-10-15,"Florida Panthers",0.860313284292419,"Columbus Blue Jackets",0.139686715707581,"Playing At:  Columbus Blue Jackets   Home","85 <","Florida Panthers",1
2024-10-15,"Nashville Predators",0.793878246158505,"Seattle Kraken",0.206121753841495,"Playing At:  Nashville Predators   Home","70-80","Seattle Kraken",0
2024-10-15,"Calgary Flames",0.73721814885074,"Chicago Blackhawks",0.26278185114926,"Playing At:  Calgary Flames   Home","70-80","Calgary Flames",1
2024-10-15,"Edmonton Oilers",0.708023562705565,"Philadelphia Flyers",0.291976437294435,"Playing At:  Edmonton Oilers   Home","70-80","Edmonton Oilers",1
2024-10-15,"Tampa Bay Lightning",0.620275099756282,"Vancouver Canucks",0.379724900243718,"Playing At:  Tampa Bay Lightning   Home","60-70","Tampa Bay Lightning",1
2024-10-15,"Washington Capitals",0.61512833838575,"Vegas Golden Knights",0.38487166161425,"Playing At:  Washington Capitals   Home","60-70","Washington Capitals",1
2024-10-15,"St. Louis Blues",0.567346067874428,"Minnesota Wild",0.432653932125572,"Playing At:  St. Louis Blues   Home","55-60","Minnesota Wild",0
2024-10-15,"New Jersey Devils",0.546141282533764,"Carolina Hurricanes",0.453858717466236,"Playing At:  Carolina Hurricanes   Home","55 >","Carolina Hurricanes",0
2024-10-16,"Arizona Coyotes",0.804806974353917,"Anaheim Ducks",0.195193025646083,"Playing At:  Anaheim Ducks   Home","80-85","Anaheim Ducks",0
2024-10-16,"Toronto Maple Leafs",0.681872226030808,"Los Angeles Kings",0.318127773969192,"Playing At:  Toronto Maple Leafs   Home","60-70","Toronto Maple Leafs",1
2024-10-16,"Boston Bruins",0.606180854180198,"Colorado Avalanche",0.393819145819802,"Playing At:  Colorado Avalanche   Home","60-70","Boston Bruins",1
2024-10-16,"Pittsburgh Penguins",0.503652992798009,"Buffalo Sabres",0.496347007201991,"Playing At:  Pittsburgh Penguins   Home","55 >","Pittsburgh Penguins",1
2024-10-17,"Dallas Stars",0.817313009007977,"Washington Capitals",0.182686990992023,"Playing At:  Washington Capitals   Home","80-85","Washington Capitals",0
2024-10-17,"St. Louis Blues",0.789730305853368,"New York Islanders",0.210269694146632,"Playing At:  St. Louis Blues   Home","70-80","St. Louis Blues",1
2024-10-17,"Buffalo Sabres",0.777939553006336,"Columbus Blue Jackets",0.222060446993664,"Playing At:  Columbus Blue Jackets   Home","70-80","Columbus Blue Jackets",0
2024-10-17,"Chicago Blackhawks",0.775107714145927,"San Jose Sharks",0.224892285854073,"Playing At:  Chicago Blackhawks   Home","70-80","Chicago Blackhawks",1
2024-10-17,"Florida Panthers",0.766030100231931,"Vancouver Canucks",0.233969899768069,"Playing At:  Florida Panthers   Home","70-80","Vancouver Canucks",0
2024-10-17,"Seattle Kraken",0.722065774876588,"Philadelphia Flyers",0.277934225123412,"Playing At:  Seattle Kraken   Home","70-80","Seattle Kraken",1
2024-10-17,"New Jersey Devils",0.716491808419047,"Ottawa Senators",0.283508191580953,"Playing At:  Ottawa Senators   Home","70-80","New Jersey Devils",1
2024-10-17,"Edmonton Oilers",0.669478997791343,"Nashville Predators",0.330521002208657,"Playing At:  Nashville Predators   Home","60-70","Edmonton Oilers",1
2024-10-17,"Vegas Golden Knights",0.656306298735637,"Tampa Bay Lightning",0.343693701264363,"Playing At:  Tampa Bay Lightning   Home","60-70","Tampa Bay Lightning",0
2024-10-17,"New York Rangers",0.602906030925054,"Detroit Red Wings",0.397093969074946,"Playing At:  Detroit Red Wings   Home","60-70","New York Rangers",1
2024-10-17,"Los Angeles Kings",0.512431160439933,"Montreal Canadiens",0.487568839560067,"Playing At:  Montreal Canadiens   Home","55 >","Los Angeles Kings",1
2024-10-18,"Colorado Avalanche",0.955872635695345,"Anaheim Ducks",0.0441273643046549,"Playing At:  Colorado Avalanche   Home","85 <","Colorado Avalanche",1
2024-10-18,"Pittsburgh Penguins",0.607096531777193,"Carolina Hurricanes",0.392903468222807,"Playing At:  Pittsburgh Penguins   Home","60-70","Carolina Hurricanes",0
2024-10-18,"Winnipeg Jets",0.542694514164946,"San Jose Sharks",0.457305485835054,"Playing At:  Winnipeg Jets   Home","55 >","Winnipeg Jets",1
2024-10-19,"New York Islanders",0.756490861546417,"Montreal Canadiens",0.243509138453583,"Playing At:  New York Islanders   Home","70-80","New York Islanders",1
2024-10-19,"Minnesota Wild",0.715980504863189,"Columbus Blue Jackets",0.284019495136811,"Playing At:  Columbus Blue Jackets   Home","70-80","Minnesota Wild",1
2024-10-19,"Florida Panthers",0.708759403323949,"Vegas Golden Knights",0.291240596676051,"Playing At:  Florida Panthers   Home","70-80","Florida Panthers",1
2024-10-19,"Buffalo Sabres",0.666884399342863,"Chicago Blackhawks",0.333115600657137,"Playing At:  Chicago Blackhawks   Home","60-70","Buffalo Sabres",1
2024-10-19,"Boston Bruins",0.65476962873286,"Arizona Coyotes",0.34523037126714,"Playing At:  Arizona Coyotes   Home","60-70","Arizona Coyotes",0
2024-10-19,"Nashville Predators",0.638093305568382,"Detroit Red Wings",0.361906694431618,"Playing At:  Nashville Predators   Home","60-70","Detroit Red Wings",0
2024-10-19,"Carolina Hurricanes",0.587401668530242,"St. Louis Blues",0.412598331469758,"Playing At:  St. Louis Blues   Home","55-60","St. Louis Blues",0
2024-10-19,"Calgary Flames",0.575089542532278,"Seattle Kraken",0.424910457467722,"Playing At:  Seattle Kraken   Home","55-60","Seattle Kraken",0
2024-10-19,"Vancouver Canucks",0.568890223311341,"Philadelphia Flyers",0.431109776688659,"Playing At:  Philadelphia Flyers   Home","55-60","Vancouver Canucks",1
2024-10-19,"New Jersey Devils",0.555954479318538,"Washington Capitals",0.444045520681462,"Playing At:  New Jersey Devils   Home","55-60","Washington Capitals",0
2024-10-19,"Tampa Bay Lightning",0.544004811795626,"Ottawa Senators",0.455995188204374,"Playing At:  Ottawa Senators   Home","55 >","Ottawa Senators",0
2024-10-19,"Edmonton Oilers",0.516227404667268,"Dallas Stars",0.483772595332732,"Playing At:  Dallas Stars   Home","55 >","Dallas Stars",0
2024-10-19,"New York Rangers",0.500569642115939,"Toronto Maple Leafs",0.499430357884061,"Playing At:  Toronto Maple Leafs   Home","55 >","New York Rangers",1
2024-10-20,"Colorado Avalanche",0.801476491081569,"San Jose Sharks",0.198523508918431,"Playing At:  San Jose Sharks   Home","80-85","Colorado Avalanche",1
2024-10-20,"Los Angeles Kings",0.716377062210433,"Anaheim Ducks",0.283622937789567,"Playing At:  Anaheim Ducks   Home","70-80","Los Angeles Kings",1
2024-10-20,"Winnipeg Jets",0.67731981525973,"Pittsburgh Penguins",0.32268018474027,"Playing At:  Winnipeg Jets   Home","60-70","Winnipeg Jets",1
2024-10-21,"Toronto Maple Leafs",0.550280501238159,"Tampa Bay Lightning",0.449719498761841,"Playing At:  Toronto Maple Leafs   Home","55-60","Toronto Maple Leafs",1
2024-10-22,"Vancouver Canucks",0.745350920473456,"Chicago Blackhawks",0.254649079526544,"Playing At:  Chicago Blackhawks   Home","70-80","Vancouver Canucks",1
2024-10-22,"New York Rangers",0.739834380134037,"Montreal Canadiens",0.260165619865963,"Playing At:  Montreal Canadiens   Home","70-80","New York Rangers",1
2024-10-22,"Nashville Predators",0.699423383577129,"Boston Bruins",0.300576616422871,"Playing At:  Nashville Predators   Home","60-70","Nashville Predators",1
2024-10-22,"Florida Panthers",0.673483673316007,"Minnesota Wild",0.326516326683993,"Playing At:  Florida Panthers   Home","60-70","Minnesota Wild",0
2024-10-22,"Calgary Flames",0.663912138662709,"Pittsburgh Penguins",0.336087861337291,"Playing At:  Calgary Flames   Home","60-70","Calgary Flames",1
2024-10-22,"Toronto Maple Leafs",0.631854258598814,"Columbus Blue Jackets",0.368145741401186,"Playing At:  Columbus Blue Jackets   Home","60-70","Columbus Blue Jackets",0
2024-10-22,"Tampa Bay Lightning",0.629867569447741,"New Jersey Devils",0.370132430552259,"Playing At:  New Jersey Devils   Home","60-70","Tampa Bay Lightning",1
2024-10-22,"Colorado Avalanche",0.610671377264388,"Seattle Kraken",0.389328622735612,"Playing At:  Seattle Kraken   Home","60-70","Colorado Avalanche",1
2024-10-22,"New York Islanders",0.601587877271515,"Detroit Red Wings",0.398412122728485,"Playing At:  New York Islanders   Home","60-70","Detroit Red Wings",0
2024-10-22,"Dallas Stars",0.588245023499914,"Buffalo Sabres",0.411754976500086,"Playing At:  Buffalo Sabres   Home","55-60","Buffalo Sabres",0
2024-10-22,"Anaheim Ducks",0.583530735640339,"San Jose Sharks",0.416469264359661,"Playing At:  Anaheim Ducks   Home","55-60","Anaheim Ducks",1
2024-10-22,"Winnipeg Jets",0.576289568610515,"St. Louis Blues",0.423710431389485,"Playing At:  St. Louis Blues   Home","55-60","Winnipeg Jets",1
2024-10-22,"Vegas Golden Knights",0.553574365458363,"Los Angeles Kings",0.446425634541637,"Playing At:  Vegas Golden Knights   Home","55-60","Vegas Golden Knights",1
2024-10-22,"Ottawa Senators",0.54678086787415,"Arizona Coyotes",0.45321913212585,"Playing At:  Arizona Coyotes   Home","55 >","Ottawa Senators",1
2024-10-22,"Edmonton Oilers",0.505592951278536,"Carolina Hurricanes",0.494407048721464,"Playing At:  Edmonton Oilers   Home","55 >","Carolina Hurricanes",0
2024-10-22,"Washington Capitals",0.501294992955544,"Philadelphia Flyers",0.498705007044456,"Playing At:  Philadelphia Flyers   Home","55 >","Washington Capitals",1
2024-10-23,"Philadelphia Flyers",0.506917047955767,"Washington Capitals",0.493082952044233,"Playing At:  Washington Capitals   Home","55 >","Washington Capitals",0
2024-10-24,"Los Angeles Kings",0.789180636535687,"San Jose Sharks",0.210819363464313,"Playing At:  Los Angeles Kings   Home","70-80","Los Angeles Kings",1
2024-10-24,"Colorado Avalanche",0.721275981397571,"Arizona Coyotes",0.278724018602429,"Playing At:  Arizona Coyotes   Home","70-80","Colorado Avalanche",1
2024-10-24,"Winnipeg Jets",0.707320117470599,"Seattle Kraken",0.292679882529401,"Playing At:  Seattle Kraken   Home","70-80","Winnipeg Jets",1
2024-10-24,"Toronto Maple Leafs",0.634427387464537,"St. Louis Blues",0.365572612535463,"Playing At:  Toronto Maple Leafs   Home","60-70","St. Louis Blues",0
2024-10-24,"Detroit Red Wings",0.618689937323731,"New Jersey Devils",0.381310062676269,"Playing At:  Detroit Red Wings   Home","60-70","Detroit Red Wings",1
2024-10-24,"Tampa Bay Lightning",0.616382289306557,"Minnesota Wild",0.383617710693443,"Playing At:  Tampa Bay Lightning   Home","60-70","Minnesota Wild",0
2024-10-24,"Carolina Hurricanes",0.606545297512841,"Calgary Flames",0.393454702487159,"Playing At:  Calgary Flames   Home","60-70","Carolina Hurricanes",1
2024-10-24,"Dallas Stars",0.51368060370331,"Boston Bruins",0.48631939629669,"Playing At:  Boston Bruins   Home","55 >","Dallas Stars",1
2024-10-24,"Florida Panthers",0.504329097793564,"New York Rangers",0.495670902206436,"Playing At:  New York Rangers   Home","55 >","Florida Panthers",1
2024-10-25,"Edmonton Oilers",0.806406813882758,"Pittsburgh Penguins",0.193593186117242,"Playing At:  Edmonton Oilers   Home","80-85","Edmonton Oilers",1
2024-10-25,"Nashville Predators",0.770281563407866,"Chicago Blackhawks",0.229718436592134,"Playing At:  Chicago Blackhawks   Home","70-80","Nashville Predators",1
2024-10-25,"Vegas Golden Knights",0.618843691696437,"Ottawa Senators",0.381156308303563,"Playing At:  Vegas Golden Knights   Home","60-70","Vegas Golden Knights",1
2024-10-25,"New York Islanders",0.513617703468753,"New Jersey Devils",0.486382296531247,"Playing At:  New Jersey Devils   Home","55 >","New York Islanders",1
2024-10-26,"New York Rangers",0.889899009753872,"Anaheim Ducks",0.110100990246128,"Playing At:  New York Rangers   Home","85 <","New York Rangers",1
2024-10-26,"Dallas Stars",0.877244405766083,"Chicago Blackhawks",0.122755594233917,"Playing At:  Dallas Stars   Home","85 <","Dallas Stars",1
2024-10-26,"Nashville Predators",0.821663658799771,"Columbus Blue Jackets",0.178336341200229,"Playing At:  Nashville Predators   Home","80-85","Nashville Predators",1
2024-10-26,"Vancouver Canucks",0.764970397116496,"Pittsburgh Penguins",0.235029602883504,"Playing At:  Vancouver Canucks   Home","70-80","Vancouver Canucks",1
2024-10-26,"Carolina Hurricanes",0.725667753511418,"Seattle Kraken",0.274332246488582,"Playing At:  Seattle Kraken   Home","70-80","Carolina Hurricanes",1
2024-10-26,"Vegas Golden Knights",0.722490647747074,"San Jose Sharks",0.277509352252926,"Playing At:  Vegas Golden Knights   Home","70-80","Vegas Golden Knights",1
2024-10-26,"Tampa Bay Lightning",0.721791906386583,"Washington Capitals",0.278208093613417,"Playing At:  Tampa Bay Lightning   Home","70-80","Tampa Bay Lightning",1
2024-10-26,"St. Louis Blues",0.667437575015567,"Montreal Canadiens",0.332562424984433,"Playing At:  Montreal Canadiens   Home","60-70","Montreal Canadiens",0
2024-10-26,"Winnipeg Jets",0.646035715898489,"Calgary Flames",0.353964284101511,"Playing At:  Calgary Flames   Home","60-70","Winnipeg Jets",1
2024-10-26,"Los Angeles Kings",0.609647873450755,"Arizona Coyotes",0.390352126549245,"Playing At:  Los Angeles Kings   Home","60-70","Los Angeles Kings",1
2024-10-26,"Toronto Maple Leafs",0.580646348955606,"Boston Bruins",0.419353651044394,"Playing At:  Boston Bruins   Home","55-60","Boston Bruins",0
2024-10-26,"Detroit Red Wings",0.561186460432279,"Buffalo Sabres",0.438813539567721,"Playing At:  Buffalo Sabres   Home","55-60","Buffalo Sabres",0
2024-10-26,"Florida Panthers",0.551772932661588,"New York Islanders",0.448227067338412,"Playing At:  New York Islanders   Home","55-60","Florida Panthers",1
2024-10-26,"Minnesota Wild",0.525584230825981,"Philadelphia Flyers",0.474415769174019,"Playing At:  Philadelphia Flyers   Home","55 >","Philadelphia Flyers",0
2024-10-27,"New Jersey Devils",0.731769270196809,"Anaheim Ducks",0.268230729803191,"Playing At:  New Jersey Devils   Home","70-80","New Jersey Devils",1
2024-10-27,"Philadelphia Flyers",0.672679982145851,"Montreal Canadiens",0.327320017854149,"Playing At:  Philadelphia Flyers   Home","60-70","Montreal Canadiens",0
2024-10-27,"Edmonton Oilers",0.64599550010547,"Detroit Red Wings",0.35400449989453,"Playing At:  Detroit Red Wings   Home","60-70","Edmonton Oilers",1
2024-10-27,"Colorado Avalanche",0.643096746310964,"Ottawa Senators",0.356903253689036,"Playing At:  Colorado Avalanche   Home","60-70","Colorado Avalanche",1
2024-10-28,"Colorado Avalanche",0.821027086539588,"Chicago Blackhawks",0.178972913460412,"Playing At:  Colorado Avalanche   Home","80-85","Chicago Blackhawks",0
2024-10-28,"Edmonton Oilers",0.812169213428336,"Columbus Blue Jackets",0.187830786571664,"Playing At:  Columbus Blue Jackets   Home","80-85","Columbus Blue Jackets",0
2024-10-28,"Arizona Coyotes",0.759075827790735,"San Jose Sharks",0.240924172209265,"Playing At:  Arizona Coyotes   Home","70-80","San Jose Sharks",0
2024-10-28,"Florida Panthers",0.624853341867407,"Buffalo Sabres",0.375146658132593,"Playing At:  Buffalo Sabres   Home","60-70","Florida Panthers",1
2024-10-28,"Winnipeg Jets",0.57804277824896,"Toronto Maple Leafs",0.42195722175104,"Playing At:  Winnipeg Jets   Home","55-60","Toronto Maple Leafs",0
