Date,Visitor,G,Home,G,,Att.,LOG,Notes
10/25/2024,Ottawa Senators,4,Vegas Golden Knights,6,,17564,2:37,
10/26/2024,Toronto Maple Leafs,3,Boston Bruins,4,OT,17850,2:38,
10/26/2024,Detroit Red Wings,3,Buffalo Sabres,5,,15017,2:34,
10/26/2024,Winnipeg Jets,5,Calgary Flames,3,,16886,2:36,
10/26/2024,Chicago Blackhawks,2,Dallas Stars,4,,18532,2:22,
10/26/2024,Utah Hockey Club,2,Los Angeles Kings,3,,15116,2:30,
10/26/2024,St. Louis Blues,2,Montreal Canadiens,5,,21105,2:26,
10/26/2024,Columbus Blue Jackets,3,Nashville Predators,4,OT,17159,2:31,
10/26/2024,Florida Panthers,6,New York Islanders,3,,15807,2:31,
10/26/2024,Anaheim Ducks,1,New York Rangers,2,,18006,2:32,
10/26/2024,Minnesota Wild,5,Philadelphia Flyers,7,,18238,2:33,
10/26/2024,Carolina Hurricanes,4,Seattle Kraken,1,,17151,2:28,
10/26/2024,Washington Capitals,0,Tampa Bay Lightning,3,,19092,2:37,
10/26/2024,Pittsburgh Penguins,3,Vancouver Canucks,4,,18748,2:25,
10/26/2024,San Jose Sharks,3,Vegas Golden Knights,7,,17686,2:26,
10/27/2024,Ottawa Senators,4,Colorado Avalanche,5,,18020,2:33,
10/27/2024,Edmonton Oilers,3,Detroit Red Wings,2,OT,19515,2:31,
10/27/2024,Anaheim Ducks,2,New Jersey Devils,6,,14344,2:31,
10/27/2024,Montreal Canadiens,4,Philadelphia Flyers,3,,17440,2:31,
10/28/2024,Florida Panthers,5,Buffalo Sabres,2,,12906,2:33,
10/28/2024,Edmonton Oilers,1,Columbus Blue Jackets,6,,15237,2:24,
10/28/2024,Chicago Blackhawks,5,Colorado Avalanche,2,,18010,2:25,
10/28/2024,Nashville Predators,2,Tampa Bay Lightning,3,OT,19092,2:39,
10/28/2024,San Jose Sharks,5,Utah Hockey Club,4,OT,11131,2:41,
10/28/2024,Carolina Hurricanes,4,Vancouver Canucks,3,OT,18682,2:33,
10/28/2024,Calgary Flames,0,Vegas Golden Knights,5,,17599,2:27,
10/28/2024,Toronto Maple Leafs,6,Winnipeg Jets,4,,15225,2:29,
10/29/2024,Philadelphia Flyers,2,Boston Bruins,0,,17850,2:30,
10/29/2024,Seattle Kraken,8,Montreal Canadiens,2,,21105,2:37,
10/29/2024,Anaheim Ducks,3,New York Islanders,1,,14234,2:27,
10/29/2024,St. Louis Blues,1,Ottawa Senators,8,,15784,2:29,
10/29/2024,Minnesota Wild,5,Pittsburgh Penguins,3,,18195,2:28,
10/29/2024,Los Angeles Kings,2,San Jose Sharks,4,,10818,2:26,
10/29/2024,New York Rangers,3,Washington Capitals,5,,17390,2:31,
10/30/2024,New York Islanders,0,Columbus Blue Jackets,2,,14015,2:19,
10/30/2024,Tampa Bay Lightning,5,Colorado Avalanche,2,,18019,2:31,
10/30/2024,Winnipeg Jets,6,Detroit Red Wings,2,,18780,2:21,
10/30/2024,Vegas Golden Knights,3,Los Angeles Kings,6,,15007,2:27,
10/30/2024,Calgary Flames,1,Utah Hockey Club,5,,11131,2:32,
10/30/2024,New Jersey Devils,6,Vancouver Canucks,0,,18717,2:24,
10/31/2024,Boston Bruins,2,Carolina Hurricanes,8,,18700,2:39,
10/31/2024,Edmonton Oilers,5,Nashville Predators,1,,17159,2:24,
10/31/2024,St. Louis Blues,1,Philadelphia Flyers,2,,14122,2:14,
10/31/2024,Anaheim Ducks,1,Pittsburgh Penguins,2,OT,14945,2:32,
10/31/2024,Chicago Blackhawks,2,San Jose Sharks,3,,10315,2:15,
10/31/2024,Seattle Kraken,1,Toronto Maple Leafs,4,,18181,2:23,
10/31/2024,Montreal Canadiens,3,Washington Capitals,6,,15789,2:41,
11/1/2024,New York Islanders,4,Buffalo Sabres,3,,17074,2:33,
11/1/2024,Winnipeg Jets,6,Columbus Blue Jackets,2,,15823,2:24,
11/1/2024,New Jersey Devils,0,Calgary Flames,3,,16275,2:32,
11/1/2024,Florida Panthers,6,Dallas Stars,4,,12786,2:33,at Nokia Arena (Tampere FI)
11/1/2024,Tampa Bay Lightning,3,Minnesota Wild,5,,18104,2:27,
11/1/2024,Ottawa Senators,1,New York Rangers,2,,18006,2:29,
11/2/2024,Buffalo Sabres,1,Detroit Red Wings,2,,19515,2:27,
11/2/2024,Dallas Stars,2,Florida Panthers,4,,12807,2:28,at Nokia Arena (Tampere FI)
11/2/2024,Chicago Blackhawks,4,Los Angeles Kings,3,SO,17314,2:33,
11/2/2024,Colorado Avalanche,2,Nashville Predators,5,,17213,2:31,
11/2/2024,Seattle Kraken,0,Ottawa Senators,3,,17274,2:24,
11/2/2024,Boston Bruins,3,Philadelphia Flyers,0,,17429,2:26,
11/2/2024,Montreal Canadiens,1,Pittsburgh Penguins,3,,17362,2:27,
11/2/2024,Vancouver Canucks,3,San Jose Sharks,2,,17435,2:20,
11/2/2024,Toronto Maple Leafs,2,St. Louis Blues,4,,18096,2:25,
11/2/2024,Utah Hockey Club,3,Vegas Golden Knights,4,OT,18216,2:28,
11/2/2024,Columbus Blue Jackets,2,Washington Capitals,7,,17666,2:27,
11/3/2024,Chicago Blackhawks,4,Anaheim Ducks,2,,16352,2:23,
11/3/2024,Seattle Kraken,0,Boston Bruins,2,,17850,2:38,
11/3/2024,Washington Capitals,2,Carolina Hurricanes,4,,18796,2:32,
11/3/2024,Edmonton Oilers,4,Calgary Flames,2,,19289,2:33,
11/3/2024,Toronto Maple Leafs,1,Minnesota Wild,2,OT,18096,2:31,
11/3/2024,New York Islanders,2,New York Rangers,5,,18006,2:32,
11/3/2024,Tampa Bay Lightning,4,Winnipeg Jets,7,,12912,2:36,
11/4/2024,New Jersey Devils,3,Edmonton Oilers,0,,18347,2:22,
11/4/2024,Los Angeles Kings,3,Nashville Predators,0,,17168,2:30,
11/5/2024,Vancouver Canucks,5,Anaheim Ducks,1,,13538,2:30,
11/5/2024,Ottawa Senators,1,Buffalo Sabres,5,,12260,2:36,
11/5/2024,Philadelphia Flyers,4,Carolina Hurricanes,6,,18700,2:27,
11/5/2024,Seattle Kraken,3,Colorado Avalanche,6,,18014,2:32,
11/5/2024,Los Angeles Kings,5,Minnesota Wild,1,,17617,2:30,
11/5/2024,Calgary Flames,3,Montreal Canadiens,2,OT,21105,2:34,
11/5/2024,Pittsburgh Penguins,3,New York Islanders,4,SO,14025,2:45,
11/5/2024,Columbus Blue Jackets,1,San Jose Sharks,2,OT,10376,2:29,
11/5/2024,Tampa Bay Lightning,2,St. Louis Blues,3,,17161,2:22,
11/5/2024,Boston Bruins,0,Toronto Maple Leafs,4,,18730,2:35,
11/5/2024,Utah Hockey Club,0,Winnipeg Jets,3,,12932,2:26,
11/6/2024,Detroit Red Wings,4,Chicago Blackhawks,1,,19984,2:24,
11/6/2024,Vegas Golden Knights,4,Edmonton Oilers,2,,18347,2:27,
11/6/2024,Nashville Predators,2,Washington Capitals,3,,17177,2:44,
11/7/2024,Calgary Flames,3,Boston Bruins,4,OT,17850,2:40,
11/7/2024,Pittsburgh Penguins,1,Carolina Hurricanes,5,,18700,2:21,
11/7/2024,Chicago Blackhawks,1,Dallas Stars,3,,18532,2:23,
11/7/2024,Nashville Predators,2,Florida Panthers,6,,18264,2:38,
11/7/2024,Vancouver Canucks,4,Los Angeles Kings,2,,17855,2:24,
11/7/2024,Montreal Canadiens,3,New Jersey Devils,5,,16514,2:25,
11/7/2024,Buffalo Sabres,6,New York Rangers,1,,18006,2:28,
11/7/2024,New York Islanders,4,Ottawa Senators,2,,15677,2:26,
11/7/2024,Minnesota Wild,5,San Jose Sharks,2,,10526,2:28,
11/7/2024,Utah Hockey Club,4,St. Louis Blues,2,,17528,2:40,
11/7/2024,Philadelphia Flyers,2,Tampa Bay Lightning,1,SO,19092,2:31,
11/7/2024,Colorado Avalanche,0,Winnipeg Jets,1,,12918,2:29,
11/8/2024,Minnesota Wild,5,Anaheim Ducks,2,,14706,2:22,
11/8/2024,Vegas Golden Knights,3,Seattle Kraken,4,OT,17151,2:28,
11/8/2024,Detroit Red Wings,1,Toronto Maple Leafs,3,,19152,2:27,
11/8/2024,Pittsburgh Penguins,4,Washington Capitals,2,,18573,2:29,
11/9/2024,Ottawa Senators,3,Boston Bruins,2,OT,17850,2:32,
11/9/2024,Calgary Flames,2,Buffalo Sabres,3,SO,16442,2:44,
11/9/2024,Carolina Hurricanes,4,Colorado Avalanche,6,,18089,2:38,
11/9/2024,New York Rangers,4,Detroit Red Wings,0,,19515,2:32,
11/9/2024,Philadelphia Flyers,3,Florida Panthers,4,SO,19547,2:50,
11/9/2024,Columbus Blue Jackets,2,Los Angeles Kings,5,,18145,2:24,
11/9/2024,Utah Hockey Club,0,Nashville Predators,4,,17159,2:27,
11/9/2024,New Jersey Devils,4,New York Islanders,3,OT,17255,2:25,
11/9/2024,Washington Capitals,8,St. Louis Blues,1,,18096,2:26,
11/9/2024,Montreal Canadiens,1,Toronto Maple Leafs,4,,19277,2:32,
11/9/2024,Edmonton Oilers,7,Vancouver Canucks,3,,18714,2:31,
11/9/2024,Dallas Stars,1,Winnipeg Jets,4,,15225,2:28,
11/10/2024,Columbus Blue Jackets,2,Anaheim Ducks,4,,16153,2:27,
11/10/2024,Minnesota Wild,1,Chicago Blackhawks,2,OT,19657,2:25,
11/10/2024,San Jose Sharks,1,New Jersey Devils,0,,16514,2:24,
11/11/2024,Montreal Canadiens,7,Buffalo Sabres,5,,15687,2:35,
