Date,Visitor,G,Home,G,,Att.,LOG,Notes
11/8/2023,Los Angeles Kings,4,Vegas Golden Knights,1,,18330,2:27,
11/8/2023,Florida Panthers,4,Washington Capitals,3,OT,16104,2:30,
11/9/2023,New York Islanders,2,Boston Bruins,5,,17850,2:24,
11/9/2023,Dallas Stars,5,Columbus Blue Jackets,2,,15253,2:25,
11/9/2023,Seattle Kraken,4,Colorado Avalanche,3,,18124,2:29,
11/9/2023,Montreal Canadiens,3,Detroit Red Wings,2,OT,18504,2:40,
11/9/2023,Pittsburgh Penguins,4,Los Angeles Kings,3,OT,18145,2:31,
11/9/2023,Minnesota Wild,1,New York Rangers,4,,18006,2:23,
11/9/2023,Vancouver Canucks,5,Ottawa Senators,2,,16653,2:22,
11/9/2023,Edmonton Oilers,2,San Jose Sharks,3,,12206,2:26,
11/9/2023,Arizona Coyotes,1,St. Louis Blues,2,,18096,2:36,
11/9/2023,Chicago Blackhawks,5,Tampa Bay Lightning,3,,19092,2:32,
11/9/2023,Nashville Predators,3,Winnipeg Jets,6,,12199,2:30,
11/10/2023,Philadelphia Flyers,6,Anaheim Ducks,3,,15550,2:32,
11/10/2023,Minnesota Wild,2,Buffalo Sabres,3,,17031,2:26,
11/10/2023,Carolina Hurricanes,2,Florida Panthers,5,,17845,2:33,
11/10/2023,Washington Capitals,4,New Jersey Devils,2,,16514,2:26,
11/10/2023,Calgary Flames,4,Toronto Maple Leafs,5,SO,18939,2:38,
11/10/2023,San Jose Sharks,0,Vegas Golden Knights,5,,18423,2:27,
11/11/2023,St. Louis Blues,8,Colorado Avalanche,2,,18132,2:34,
11/11/2023,Columbus Blue Jackets,4,Detroit Red Wings,5,,19156,2:27,
11/11/2023,Philadelphia Flyers,4,Los Angeles Kings,2,,18145,2:25,
11/11/2023,Boston Bruins,2,Montreal Canadiens,3,OT,21105,2:28,
11/11/2023,Arizona Coyotes,7,Nashville Predators,5,,17303,2:24,
11/11/2023,Washington Capitals,4,New York Islanders,1,,16519,2:20,
11/11/2023,Calgary Flames,1,Ottawa Senators,4,,18874,2:26,
11/11/2023,Buffalo Sabres,0,Pittsburgh Penguins,4,,18429,2:16,
11/11/2023,Edmonton Oilers,4,Seattle Kraken,1,,17151,2:31,
11/11/2023,Carolina Hurricanes,4,Tampa Bay Lightning,0,,19092,2:28,
11/11/2023,Vancouver Canucks,2,Toronto Maple Leafs,5,,19107,2:26,
11/11/2023,Dallas Stars,3,Winnipeg Jets,2,,12420,2:28,
11/12/2023,San Jose Sharks,1,Anaheim Ducks,4,,16471,2:29,
11/12/2023,Chicago Blackhawks,3,Florida Panthers,4,,19359,2:26,
11/12/2023,Dallas Stars,8,Minnesota Wild,3,,18509,2:33,
11/12/2023,Vancouver Canucks,5,Montreal Canadiens,2,,21105,2:19,
11/12/2023,Columbus Blue Jackets,3,New York Rangers,4,SO,18006,2:55,
11/13/2023,New York Islanders,1,Edmonton Oilers,4,,17881,2:40,
11/13/2023,Colorado Avalanche,5,Seattle Kraken,1,,17151,2:37,
11/14/2023,Boston Bruins,5,Buffalo Sabres,2,,14840,2:21,
11/14/2023,Pittsburgh Penguins,5,Columbus Blue Jackets,3,,16596,2:23,
11/14/2023,Arizona Coyotes,3,Dallas Stars,4,OT,18532,2:31,
11/14/2023,Calgary Flames,2,Montreal Canadiens,1,,21105,2:29,
11/14/2023,Anaheim Ducks,3,Nashville Predators,2,,17159,2:30,
11/14/2023,Florida Panthers,5,San Jose Sharks,3,,10108,2:35,
11/14/2023,Tampa Bay Lightning,0,St. Louis Blues,5,,17621,2:25,
11/14/2023,New Jersey Devils,3,Winnipeg Jets,6,,11717,2:29,
11/14/2023,Vegas Golden Knights,0,Washington Capitals,3,,16598,2:34,
11/15/2023,Philadelphia Flyers,3,Carolina Hurricanes,1,,18700,2:32,
11/15/2023,Anaheim Ducks,2,Colorado Avalanche,8,,18029,2:32,
11/15/2023,Seattle Kraken,3,Edmonton Oilers,4,OT,18347,2:40,
11/15/2023,New York Islanders,3,Vancouver Canucks,4,OT,18972,2:42,
11/16/2023,Arizona Coyotes,3,Columbus Blue Jackets,2,,15909,2:28,
11/16/2023,Vancouver Canucks,2,Calgary Flames,5,,17501,2:33,
11/16/2023,Tampa Bay Lightning,4,Chicago Blackhawks,2,,18691,2:34,
11/16/2023,Florida Panthers,1,Los Angeles Kings,2,,17243,2:29,
11/16/2023,Vegas Golden Knights,6,Montreal Canadiens,5,,21105,2:39,
11/16/2023,Detroit Red Wings,4,Ottawa Senators,5,OT,12487,2:48,at (Stockholm SE)
11/16/2023,New Jersey Devils,5,Pittsburgh Penguins,2,,18321,2:24,
11/16/2023,New York Islanders,3,Seattle Kraken,4,SO,17151,2:46,
11/16/2023,St. Louis Blues,1,San Jose Sharks,5,,10452,2:31,
11/17/2023,Florida Panthers,2,Anaheim Ducks,1,,14932,2:42,
11/17/2023,Toronto Maple Leafs,3,Detroit Red Wings,2,,13510,2:40,at (Stockholm SE)
11/17/2023,Buffalo Sabres,2,Winnipeg Jets,3,,11340,2:21,
11/18/2023,Montreal Canadiens,2,Boston Bruins,5,,17850,2:29,
11/18/2023,Pittsburgh Penguins,2,Carolina Hurricanes,4,,18700,2:32,
11/18/2023,New York Islanders,5,Calgary Flames,4,SO,17167,2:36,
11/18/2023,Colorado Avalanche,6,Dallas Stars,3,,18532,2:28,
11/18/2023,St. Louis Blues,1,Los Angeles Kings,5,,18145,2:18,
11/18/2023,New York Rangers,5,New Jersey Devils,3,,17086,2:32,
11/18/2023,Chicago Blackhawks,2,Nashville Predators,4,,17397,2:27,
11/18/2023,Minnesota Wild,1,Ottawa Senators,2,SO,13213,2:38,at (Stockholm SE)
11/18/2023,Vegas Golden Knights,3,Philadelphia Flyers,4,OT,18113,2:35,
11/18/2023,Edmonton Oilers,4,Tampa Bay Lightning,6,,19092,2:33,
11/18/2023,Seattle Kraken,4,Vancouver Canucks,3,,18857,2:28,
11/18/2023,Arizona Coyotes,2,Winnipeg Jets,5,,12103,2:29,
11/18/2023,Columbus Blue Jackets,3,Washington Capitals,4,,18573,2:37,
11/19/2023,St. Louis Blues,3,Anaheim Ducks,1,,15243,2:24,
11/19/2023,Buffalo Sabres,3,Chicago Blackhawks,2,,19027,2:21,
11/19/2023,Toronto Maple Leafs,4,Minnesota Wild,3,OT,13356,2:38,at (Stockholm SE)
11/19/2023,Columbus Blue Jackets,2,Philadelphia Flyers,5,,17416,2:36,
11/19/2023,Vegas Golden Knights,0,Pittsburgh Penguins,3,,18120,2:30,
11/20/2023,Los Angeles Kings,4,Arizona Coyotes,1,,4600,2:27,
11/20/2023,New York Rangers,3,Dallas Stars,6,,18532,2:33,
11/20/2023,Edmonton Oilers,3,Florida Panthers,5,,19628,2:43,
11/20/2023,Colorado Avalanche,3,Nashville Predators,4,,17159,2:22,
11/20/2023,Calgary Flames,4,Seattle Kraken,3,OT,17151,2:33,
11/20/2023,Boston Bruins,4,Tampa Bay Lightning,5,OT,19092,2:42,
11/20/2023,San Jose Sharks,1,Vancouver Canucks,3,,18718,2:26,
11/22/2023,Montreal Canadiens,4,Anaheim Ducks,3,,15168,2:31,
11/22/2023,St. Louis Blues,6,Arizona Coyotes,5,,4600,2:33,
11/22/2023,Edmonton Oilers,3,Carolina Hurricanes,6,,18805,2:34,
11/22/2023,Chicago Blackhawks,3,Columbus Blue Jackets,7,,18158,2:21,
11/22/2023,Vancouver Canucks,2,Colorado Avalanche,5,,18133,2:32,
11/22/2023,Vegas Golden Knights,2,Dallas Stars,1,OT,18532,2:31,
11/22/2023,New Jersey Devils,0,Detroit Red Wings,4,,19515,2:17,
11/22/2023,Boston Bruins,3,Florida Panthers,1,,19327,2:28,
11/22/2023,Calgary Flames,2,Nashville Predators,4,,17252,2:38,
11/22/2023,Philadelphia Flyers,2,New York Islanders,3,,17255,2:30,
11/22/2023,New York Rangers,1,Pittsburgh Penguins,0,,18250,2:31,
11/22/2023,San Jose Sharks,1,Seattle Kraken,7,,17151,2:25,
11/22/2023,Winnipeg Jets,3,Tampa Bay Lightning,2,OT,19092,2:24,
11/22/2023,Buffalo Sabres,3,Washington Capitals,4,OT,18573,2:29,
11/24/2023,Los Angeles Kings,5,Anaheim Ducks,2,,17205,2:33,
11/24/2023,Detroit Red Wings,5,Boston Bruins,2,,17850,2:35,
11/24/2023,Pittsburgh Penguins,2,Buffalo Sabres,3,,19070,2:29,
11/24/2023,Tampa Bay Lightning,8,Carolina Hurricanes,2,,18802,2:34,
11/24/2023,Toronto Maple Leafs,3,Chicago Blackhawks,4,OT,20238,2:32,
11/24/2023,Calgary Flames,7,Dallas Stars,4,,18532,2:20,
11/24/2023,Winnipeg Jets,3,Florida Panthers,0,,18801,2:30,
11/24/2023,Colorado Avalanche,3,Minnesota Wild,2,,19057,2:23,
11/24/2023,Columbus Blue Jackets,2,New Jersey Devils,1,,16514,2:22,
11/24/2023,New York Islanders,5,Ottawa Senators,3,,17693,2:30,
11/24/2023,New York Rangers,3,Philadelphia Flyers,1,,19032,2:31,
11/24/2023,Vancouver Canucks,5,Seattle Kraken,1,,17151,2:31,
11/24/2023,Montreal Canadiens,3,San Jose Sharks,2,SO,16897,2:35,
11/24/2023,Nashville Predators,8,St. Louis Blues,3,,18096,2:26,
11/24/2023,Edmonton Oilers,5,Washington Capitals,0,,18573,2:31,
11/25/2023,Calgary Flames,1,Colorado Avalanche,3,,18139,2:30,
11/25/2023,Montreal Canadiens,0,Los Angeles Kings,4,,18145,2:24,
11/25/2023,Buffalo Sabres,2,New Jersey Devils,7,,16514,2:24,
11/25/2023,Philadelphia Flyers,1,New York Islanders,0,SO,17255,2:41,
11/25/2023,Boston Bruins,4,New York Rangers,7,,18006,2:41,
11/25/2023,Toronto Maple Leafs,2,Pittsburgh Penguins,3,,18229,2:27,
11/25/2023,Vancouver Canucks,3,San Jose Sharks,4,,15538,2:36,
11/25/2023,Arizona Coyotes,2,Vegas Golden Knights,0,,18591,2:26,
11/26/2023,Columbus Blue Jackets,2,Carolina Hurricanes,3,,18700,2:22,
11/26/2023,St. Louis Blues,4,Chicago Blackhawks,2,,18223,2:23,
11/26/2023,Minnesota Wild,1,Detroit Red Wings,4,,18833,2:31,
11/26/2023,Anaheim Ducks,2,Edmonton Oilers,8,,17781,2:28,
11/26/2023,Winnipeg Jets,2,Nashville Predators,3,,17159,2:33,
11/27/2023,Boston Bruins,2,Columbus Blue Jackets,5,,14357,2:30,
11/27/2023,Vegas Golden Knights,1,Calgary Flames,2,OT,17031,2:34,
11/27/2023,Tampa Bay Lightning,1,Colorado Avalanche,4,,18009,2:34,
11/27/2023,Buffalo Sabres,5,New York Rangers,1,,18006,2:21,
11/27/2023,Florida Panthers,5,Ottawa Senators,0,,15594,2:44,
11/27/2023,Washington Capitals,1,San Jose Sharks,2,,10759,2:31,
11/28/2023,Tampa Bay Lightning,1,Arizona Coyotes,3,,4600,2:20,
11/28/2023,Seattle Kraken,3,Chicago Blackhawks,4,,17070,2:34,
11/28/2023,Vegas Golden Knights,4,Edmonton Oilers,5,SO,18098,2:37,
11/28/2023,St. Louis Blues,1,Minnesota Wild,3,,17563,2:23,
11/28/2023,New York Islanders,4,New Jersey Devils,5,,16091,2:26,
11/28/2023,Pittsburgh Penguins,2,Nashville Predators,3,OT,17159,2:27,
11/28/2023,Carolina Hurricanes,4,Philadelphia Flyers,1,,17885,2:26,
11/28/2023,Florida Panthers,1,Toronto Maple Leafs,2,SO,18508,2:46,
11/28/2023,Anaheim Ducks,1,Vancouver Canucks,3,,18639,2:21,
11/28/2023,Dallas Stars,2,Winnipeg Jets,0,,11439,2:21,
11/29/2023,Montreal Canadiens,4,Columbus Blue Jackets,2,,14316,2:12,
11/29/2023,Washington Capitals,2,Los Angeles Kings,1,,18145,2:23,
11/29/2023,Detroit Red Wings,2,New York Rangers,3,,18006,2:34,
11/30/2023,Washington Capitals,5,Anaheim Ducks,4,,14336,2:35,
11/30/2023,Colorado Avalanche,3,Arizona Coyotes,4,OT,4600,2:30,
11/30/2023,San Jose Sharks,0,Boston Bruins,3,,17850,2:32,
11/30/2023,New York Islanders,5,Carolina Hurricanes,4,OT,18700,2:43,
11/30/2023,Dallas Stars,3,Calgary Flames,4,OT,16941,2:29,
11/30/2023,Chicago Blackhawks,1,Detroit Red Wings,5,,19515,2:21,
11/30/2023,Florida Panthers,5,Montreal Canadiens,1,,21105,2:31,
11/30/2023,Minnesota Wild,6,Nashville Predators,1,,17159,2:38,
11/30/2023,New Jersey Devils,4,Philadelphia Flyers,3,OT,17748,2:40,
11/30/2023,Buffalo Sabres,4,St. Louis Blues,6,,18096,2:27,
